id,created_at,text
827939921218433026,2017-02-04 18:00:34,Congrats to @miss_sici on winning a #JetJones ✈️ jersey! https://t.co/D2jrfvztYV
827939142046740480,2017-02-04 17:57:28,We're surprising fans walking around too! We heard Knight say he's rooting for us so he gets a Jake Matthews signed… https://t.co/k3pJLbwDPj
827935012263690240,2017-02-04 17:41:03,"Want a signed #JetJones✈ jersey? Find the Twitter board, take a selfie, and send it to us! https://t.co/91o1SUkLz0"
827931220642234372,2017-02-04 17:25:59,Congrats to @yaboyfletch &amp; his buddy for running to our #RiseUp sign and winning this signed #EatFree jersey! More… https://t.co/LLhse99jys
827928332859748352,2017-02-04 17:14:31,For a signed Devonta Freeman jersey... take a selfie with our Twitter board and tweet it at us! #RiseUp https://t.co/BdCHc4Z5an
827916663794319361,2017-02-04 16:28:09,"It's going down... Twitter Scavenger Hunt in Houston! 

Stay tuned for details to win some sweet Falcons prizes.… https://t.co/DsPDpDcp4G"
827915532049510402,2017-02-04 16:23:39,@Jovaaa90 Open until 2am!
827913781703479297,2017-02-04 16:16:42,In Houston? Come to the Falcons Fan HQ today! We're getting our fans ready for tomorrow! Info:… https://t.co/ER3wfrEO30
827902291822809088,2017-02-04 15:31:02,ICYMI: Fans helped design these 👍 @devontafreeman cleats here in Houston! #CreatedOnSurface https://t.co/aQbpdJRCK4
827889488386981888,2017-02-04 14:40:10,"@Braves @TwoSportman thank you for the support! In ATL it's all one family. 

#InBrotherhood"
827889363082235905,2017-02-04 14:39:40,"RT @Braves: #InBrotherhood? Yeah @AtlantaFalcons, we're all in!

@TwoSportman, show us how it's done: https://t.co/zCFzzqd0b6"
827880645216985088,2017-02-04 14:05:01,"Are you looking for things to do in Houston before the big game? 

Check it out ➡️ https://t.co/OJrr6sfkkK https://t.co/UOmcUJSDL7"
827868568595288064,2017-02-04 13:17:02,Hall of Famer Claude Humphrey will be signing autographs at the fan HQ (Warehouse Live) today from 11am until noon… https://t.co/bTgRknfeom
827734885213237249,2017-02-04 04:25:49,These 🔥 🔥 cleats for @devontafreeman were #CreatedOnSurface by Falcons fans here in Houston at the #MicrosoftNFL bo… https://t.co/pP4FPijp40
827725624685031424,2017-02-04 03:49:01,"RT @AtlantaBlaze: #RiseUP the Dirty Birds are coming 🔥 

#inbrotherhood #SB51 #FalconsFriday https://t.co/YwXxWcv5Go"
827699710978777088,2017-02-04 02:06:03,"1. It's all about the ball. 
2. ??
3. ??

Dan Quinn's Keys to Victory - https://t.co/wFgrmpeVzL https://t.co/GzBLojQ7rS"
827690862238916608,2017-02-04 01:30:53,"Friends and family ✅
#SB51 ✅
@Xbox ✅

Great times in Houston! https://t.co/Kp8DOW88jL"
827687124686118912,2017-02-04 01:16:02,"""Our supporting cast has done a great job this year.""- #MattyIce❄️ https://t.co/4SW1G9un7F"
827677053818335232,2017-02-04 00:36:01,"""The brand of football we're going to play is fast &amp; physical."" - DQ in his first press conference as Falcons head… https://t.co/73K59JU8yu"
827670527833563136,2017-02-04 00:10:05,"The team spent the first half of the week meeting with members of the media from across the world. 

📸 Gallery -… https://t.co/s9dNGHrMfg"
827649121049653248,2017-02-03 22:45:02,Deion Sanders reflects on his love and excitement for the city of Atlanta. https://t.co/MBBIFckMb0
827642591021723649,2017-02-03 22:19:05,"Road to the Super Bowl: Moment No. 2

Rematch in Atlanta. https://t.co/GDE1UZwFYb"
827629144548667393,2017-02-03 21:25:39,Congratulations to @FalconsDQ on winning the NFL-USAA Salute to Service Award! https://t.co/6pXmjRTzv5
827615649631395840,2017-02-03 20:32:01,"""It's no longer a dream."" - @bigdreams_bo on #SB51 https://t.co/UJTDuw0j5C"
827610964262522880,2017-02-03 20:13:24,@ATLUTD Thanks guys! We may need to have you out to teach you a few things in the off season!
